section,segment,metric,value,unit,denominator,period_start_utc,period_end_utc,note,source_sha256
scope,snapshot,review_count,18474,count,,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
scope,snapshot,substantive_text_count,18459,count,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
scope,snapshot,reviewed_at_start,2011-03-08T20:58:30+00:00,timestamp,,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
scope,snapshot,reviewed_at_end,2026-08-10T03:22:30+00:00,timestamp,,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
scope,snapshot,nonempty_language_stream_count,46,count,,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
scope,snapshot,language_stream_assignments,18484,count,,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
scope,snapshot,duplicate_stream_assignments,10,count,,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
engagement,all,developer_reply_count,2011,count,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
engagement,all,developer_reply_share,10.8856,percent,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
engagement,all,thumbs_up_total,15179,count,,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
engagement,all,reviews_with_thumbs_up,4451,count,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
overall,all,review_count,18474,count,,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
overall,all,mean_rating,3.8633,stars,,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
overall,all,low_review_count,4217,count,,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
overall,all,low_review_share,22.8267,percent,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
overall,all,positive_review_count,12986,count,,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
overall,all,positive_review_share,70.2934,percent,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
rating,1,review_count,3318,count,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
rating,1,review_share,17.9604,percent,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
rating,2,review_count,899,count,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
rating,2,review_share,4.8663,percent,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
rating,3,review_count,1271,count,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
rating,3,review_share,6.8799,percent,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
rating,4,review_count,2489,count,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
rating,4,review_share,13.473,percent,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
rating,5,review_count,10497,count,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
rating,5,review_share,56.8204,percent,18474,,,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
period,recent_90_days,review_count,419,count,,2026-05-13T00:00:00+00:00,2026-08-11T00:00:00+00:00,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
period,recent_90_days,mean_rating,3.611,stars,,2026-05-13T00:00:00+00:00,2026-08-11T00:00:00+00:00,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
period,recent_90_days,low_review_count,138,count,,2026-05-13T00:00:00+00:00,2026-08-11T00:00:00+00:00,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
period,recent_90_days,low_review_share,32.9356,percent,419,2026-05-13T00:00:00+00:00,2026-08-11T00:00:00+00:00,,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
